Country,Government Type
Afghanistan,presidential Islamic republic
Albania,parliamentary republic
Algeria,presidential republic
American Samoa,"republican form of government with separate executive, legislative, and judicial branches; unincorporated unorganized territory of the US with local self-government"
Andorra,"parliamentary democracy (since March 1993) that retains its chiefs of state in the form of a co-principality; the two princes are the President of France and Bishop of Seu d'Urgell, Spain"
Angola,presidential republic
Anguilla,parliamentary democracy (House of Assembly); self-governing overseas territory of the UK
Antigua and Barbuda,parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Argentina,presidential republic
Armenia,parliamentary democracy; note - constitutional changes adopted in December 2015 transformed the government to a parliamentary system
Aruba,parliamentary democracy; part of the Kingdom of the Netherlands
Australia,federal parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Austria,federal parliamentary republic
Azerbaijan,presidential republic
"Bahamas, The",parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Bahrain,constitutional monarchy
Bangladesh,parliamentary republic
Barbados,parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Belarus,"presidential republic in name, although in fact a dictatorship"
Belgium,federal parliamentary democracy under a constitutional monarchy
Belize,parliamentary democracy (National Assembly) under a constitutional monarchy; a Commonwealth realm
Benin,presidential republic
Bermuda,parliamentary democracy; self-governing overseas territory of the UK
Bhutan,constitutional monarchy
Bolivia,presidential republic
Bosnia and Herzegovina,parliamentary republic
Botswana,parliamentary republic
Brazil,federal presidential republic
British Virgin Islands,parliamentary democracy; self-governing overseas territory of the UK
Brunei,absolute monarchy or sultanate
Bulgaria,parliamentary republic
Burkina Faso,presidential republic
Burma,parliamentary republic
Burundi,presidential republic
Cabo Verde,parliamentary republic
Cambodia,parliamentary constitutional monarchy
Cameroon,presidential republic
Canada,federal parliamentary democracy (Parliament of Canada) under a constitutional monarchy; a Commonwealth realm; federal and state authorities and responsibilities regulated in constitution
Cayman Islands,parliamentary democracy; self-governing overseas territory of the UK
Central African Republic,presidential republic
Chad,presidential republic
Chile,presidential republic
China,communist party-led state
Christmas Island,non-self-governing overseas territory of Australia
Cocos (Keeling) Islands,non-self-governing overseas territory of Australia
Colombia,presidential republic
Comoros,federal presidential republic
"Congo, Democratic Republic of the",semi-presidential republic
"Congo, Republic of the",presidential republic
Cook Islands,parliamentary democracy
Costa Rica,presidential republic
Cote d'Ivoire,presidential republic
Croatia,parliamentary republic
Cuba,communist state
Curacao,parliamentary democracy
Cyprus,"Republic of Cyprus - presidential republic; ""Turkish Republic of Northern Cyprus"" (self-declared) - parliamentary republic with enhanced presidency
note: a separation of the two main ethnic communities inhabiting the island began following the outbreak of communal strife in 1963; this separation was further solidified when a Greek military-junta-supported coup attempt prompted the Turkish military intervention in July 1974 that gave the Turkish Cypriots de facto control in the north; Greek Cypriots control the only internationally recognized government on the island; on 15 November 1983, then Turkish Cypriot ""President"" Rauf DENKTAS declared independence and the formation of the ""TRNC,” which is recognized only by Turkey"
Czechia,parliamentary republic
Denmark,parliamentary constitutional monarchy
Djibouti,presidential republic
Dominica,parliamentary republic
Dominican Republic,presidential republic
Ecuador,presidential republic
Egypt,presidential republic
El Salvador,presidential republic
Equatorial Guinea,presidential republic
Eritrea,presidential republic
Estonia,parliamentary republic
Eswatini,absolute monarchy
Ethiopia,federal parliamentary republic
Falkland Islands (Islas Malvinas),parliamentary democracy (Legislative Assembly); self-governing overseas territory of the UK
Faroe Islands,parliamentary democracy (Faroese Parliament); part of the Kingdom of Denmark
Fiji,parliamentary republic
Finland,parliamentary republic
France,semi-presidential republic
French Polynesia,parliamentary democracy (Assembly of French Polynesia); an overseas collectivity of France
Gabon,presidential republic
"Gambia, The",presidential republic
Georgia,semi-presidential republic
Germany,federal parliamentary republic
Ghana,presidential republic
Gibraltar,parliamentary democracy (Parliament); self-governing overseas territory of the UK
Greece,parliamentary republic
Greenland,parliamentary democracy (Parliament of Greenland or Inatsisartut)
Grenada,parliamentary democracy under a constitutional monarchy; a Commonwealth realm
Guam,"republican form of government with separate executive, legislative, and judicial branches; unincorporated organized territory of the US with local self-government"
Guatemala,presidential republic
Guernsey,parliamentary democracy (States of Deliberation)
Guinea,presidential republic
Guinea-Bissau,semi-presidential republic
Guyana,parliamentary republic
Haiti,semi-presidential republic
Holy See (Vatican City),"ecclesiastical elective monarchy; self-described as an ""absolute monarchy"""
Honduras,presidential republic
Hong Kong,presidential limited democracy; a special administrative region of the People's Republic of China
Hungary,parliamentary republic
Iceland,unitary parliamentary republic
India,federal parliamentary republic
Indonesia,presidential republic
Iran,theocratic republic
Iraq,federal parliamentary republic
Ireland,parliamentary republic
Isle of Man,parliamentary democracy (Tynwald)
Israel,parliamentary democracy
Italy,parliamentary republic
Jamaica,parliamentary democracy (Parliament) under a constitutional monarchy; a Commonwealth realm
Japan,parliamentary constitutional monarchy
Jersey,parliamentary democracy (Assembly of the States of Jersey)
Jordan,parliamentary constitutional monarchy
Kazakhstan,presidential republic
Kenya,presidential republic
Kiribati,presidential republic
"Korea, North","dictatorship, single-party state; official state ideology of ""Juche"" or ""national self-reliance"""
"Korea, South",presidential republic
Kosovo,parliamentary republic
Kuwait,constitutional monarchy (emirate)
Kyrgyzstan,parliamentary republic
Laos,communist state
Latvia,parliamentary republic
Lebanon,parliamentary republic
Lesotho,parliamentary constitutional monarchy
Liberia,presidential republic
Libya,in transition
Liechtenstein,constitutional monarchy
Lithuania,semi-presidential republic
Luxembourg,constitutional monarchy
Macau,executive-led limited democracy; a special administrative region of the People's Republic of China
Madagascar,semi-presidential republic
Malawi,presidential republic
